T° Ambiental (°C) BRUTO,Velocidad del viento (KM/H),T° Ambiental (°C),Valor de tipo de suelo,Tipo de Suelo,PH Agua,PH Suelo,Humedad Suelo (%),Humedad Suelo Deseada (%),T° Suelo (°C),T° Suelo Deseada (°C),Análisis,Análisis valor
39,62,15,1,Pedregosos,14,3,19,45,15,15,Desactivar Riego,0
16,62,7,2,Mixto,9,8,36,50,7,23,Activar Riego,1
24,18,17,1,Arenoso,13,10,39,30,8,17,Desactivar Riego,0
2,17,4,2,Humíferos,9,5,31,70,16,15,Desactivar Riego,0
19,30,7,3,Humíferos,2,9,12,70,13,15,Activar Riego,1
33,71,5,4,Arcillosos,2,4,2,25,5,27,Activar Riego,1
22,75,6,5,Arcillosos,2,8,4,25,25,27,Activar Riego,1
37,70,10,1,Arcillosos,10,4,10,25,14,27,Activar Riego,1
26,4,24,2,Calizos,12,8,39,41,0,20,Activar Riego,1
11,78,18,3,Humíferos,7,1,5,70,8,15,Activar Riego,1
4,45,13,4,Arenoso,1,10,3,30,10,17,Activar Riego,1
12,88,21,5,Pedregosos,12,12,64,45,25,25,Desactivar Riego,0
28,75,0,6,Pedregosos,5,12,27,45,11,25,Activar Riego,1
26,33,13,1,Humíferos,3,11,23,70,10,15,Activar Riego,1
30,27,19,5,Arcillosos,10,2,5,25,9,27,Activar Riego,1
1,21,8,6,Humíferos,2,11,15,70,12,15,Activar Riego,1
40,78,10,2,Humíferos,13,3,27,70,8,15,Activar Riego,1
36,52,16,4,Humíferos,8,4,22,70,18,15,Desactivar Riego,0
10,84,21,3,Calizos,10,13,53,41,21,20,Desactivar Riego,0
0,20,4,1,Arcillosos,6,2,3,25,7,27,Activar Riego,1
4,7,1,4,Pedregosos,6,11,29,45,15,25,Activar Riego,1
22,6,19,6,Arenoso,12,14,50,30,2,17,Desactivar Riego,0
19,57,2,3,Arcillosos,3,1,0,25,13,27,Activar Riego,1
11,65,13,1,Pedregosos,11,9,44,45,14,25,Activar Riego,1
0,71,27,2,Arenoso,2,0,0,30,2,17,Activar Riego,1
8,23,0,5,Humíferos,5,13,45,70,5,15,Activar Riego,1
33,17,26,1,Pedregosos,8,2,7,45,23,25,Activar Riego,1
33,88,0,4,Calizos,12,10,49,41,1,20,Desactivar Riego,0
34,4,32,2,Humíferos,6,7,29,70,21,15,Desactivar Riego,0
12,16,5,3,Calizos,1,11,4,41,4,20,Activar Riego,1
0,78,19,5,Humíferos,11,2,15,70,18,15,Desactivar Riego,0
23,69,3,2,Calizos,0,8,0,41,23,20,Desactivar Riego,0
2,64,22,1,Calizos,13,2,10,41,2,20,Activar Riego,1
31,48,12,4,Arenoso,7,3,6,30,15,17,Activar Riego,1
1,84,30,2,Mixto,7,8,28,50,22,23,Activar Riego,1
37,53,16,3,Calizos,4,13,21,41,24,20,Desactivar Riego,0
26,5,24,6,Calizos,3,11,13,41,3,20,Activar Riego,1
40,46,22,4,Calizos,9,9,33,41,18,20,Activar Riego,1
23,55,2,1,Arenoso,12,12,43,30,0,17,Desactivar Riego,0
14,37,0,3,Pedregosos,5,13,29,45,10,25,Activar Riego,1
37,10,33,1,Calizos,0,5,0,41,2,20,Activar Riego,1
33,27,22,2,Calizos,13,7,37,41,5,20,Activar Riego,1
3,6,0,2,Arenoso,1,7,2,30,4,17,Activar Riego,1
36,1,35,4,Arcillosos,2,5,2,25,0,27,Activar Riego,1
22,0,22,6,Pedregosos,6,13,35,45,23,25,Activar Riego,1
32,83,0,7,Pedregosos,10,12,54,45,10,25,Desactivar Riego,0
15,64,9,1,Arenoso,14,9,37,30,7,17,Desactivar Riego,0
25,69,1,2,Mixto,2,0,0,50,14,23,Activar Riego,1
1,29,12,2,Pedregosos,11,9,44,45,22,25,Activar Riego,1
